koi rprs secthresh maxrad pr_heb pr_heb_Px2 pr_eb pr_eb_Px2 pr_beb pr_beb_Px2 L_tot fp FPP
K00315.01 0.031 63 0.50 nan nan nan nan nan nan nan nan nan 
K00316.01 0.021 32 2.58 nan nan nan nan nan nan nan nan nan 
K00316.02 0.021 93 3.90 nan nan nan nan nan nan nan nan nan 
K00316.03 0.015 39 2.85 nan nan nan nan nan nan nan nan nan 
K00317.01 0.020 54 0.63 nan nan nan nan nan nan nan nan nan 
K00318.01 0.032 378 0.50 nan nan nan nan nan nan nan nan nan 
K00319.01 0.047 42 0.50 nan nan nan nan nan nan nan nan nan 
K00320.01 0.758 12 0.50 nan nan nan nan nan nan nan nan nan 
K00321.01 0.012 16 0.50 nan nan nan nan nan nan nan nan nan 
K00321.02 0.007 11 0.84 nan nan nan nan nan nan nan nan nan 
K00322.01 0.228 1287 0.99 nan nan nan nan nan nan nan nan nan 
K00323.01 0.021 34 0.50 nan nan nan nan nan nan nan nan nan 
K00324.01 0.013 111 0.93 nan nan nan nan nan nan nan nan nan 
K00325.01 0.036 33 3.00 nan nan nan nan nan nan nan nan nan 
K00326.01 0.028 99 0.72 nan nan nan nan nan nan nan nan nan 
K00326.02 0.027 355 1.08 nan nan nan nan nan nan nan nan nan 
K00327.01 0.012 13 0.50 nan nan nan nan nan nan nan nan nan 
K00327.02 0.013 87 1.41 nan nan nan nan nan nan nan nan nan 
K00328.01 0.399 21 0.50 nan nan nan nan nan nan nan nan nan 
K00329.01 0.621 92 1.92 nan nan nan nan nan nan nan nan nan 
K00330.01 0.016 32 0.66 nan nan nan nan nan nan nan nan nan 
K00330.02 0.008 14 1.08 nan nan nan nan nan nan nan nan nan 
K00331.01 0.021 48 0.57 nan nan nan nan nan nan nan nan nan 
K00332.01 0.016 17 0.57 nan nan nan nan nan nan nan nan nan 
K00332.02 0.006 19 3.00 nan nan nan nan nan nan nan nan nan 
K00333.01 0.018 57 0.57 nan nan nan nan nan nan nan nan nan 
K00334.01 0.058 105 0.50 nan nan nan nan nan nan nan nan nan 
K00335.01 0.027 108 0.50 nan nan nan nan nan nan nan nan nan 
K00336.01 0.012 54 0.50 nan nan nan nan nan nan nan nan nan 
K00337.01 0.018 54 0.63 nan nan nan nan nan nan nan nan nan 
K00338.01 0.019 31 0.51 nan nan nan nan nan nan nan nan nan 
K00338.02 0.008 25 1.14 nan nan nan nan nan nan nan nan nan 
K00339.01 0.015 25 0.50 nan nan nan nan nan nan nan nan nan 
K00339.02 0.016 46 1.14 nan nan nan nan nan nan nan nan nan 
K00339.03 0.017 57 1.23 nan nan nan nan nan nan nan nan nan 
K00340.01 0.143 700 0.50 nan nan nan nan nan nan nan nan nan 
K00341.01 0.029 44 0.50 nan nan nan nan nan nan nan nan nan 
K00341.02 0.021 33 0.50 nan nan nan nan nan nan nan nan nan 
K00343.01 0.020 31 0.50 nan nan nan nan nan nan nan nan nan 
K00343.02 0.015 14 0.50 nan nan nan nan nan nan nan nan nan 
K00343.03 0.011 50 1.53 nan nan nan nan nan nan nan nan nan 
K00344.01 0.031 67 0.50 nan nan nan nan nan nan nan nan nan 
K00345.01 0.034 67 0.54 nan nan nan nan nan nan nan nan nan 
K00346.01 0.030 66 0.50 nan nan nan nan nan nan nan nan nan 
K00347.01 0.181 651 0.50 nan nan nan nan nan nan nan nan nan 
K00348.01 0.043 82 0.50 nan nan nan nan nan nan nan nan nan 
K00349.01 0.022 54 0.50 nan nan nan nan nan nan nan nan nan 
K00350.01 0.018 57 0.81 nan nan nan nan nan nan nan nan nan 
K00351.01 0.087 467 0.50 nan nan nan nan nan nan nan nan nan 
K00352.01 0.021 62 0.54 nan nan nan nan nan nan nan nan nan 
K00352.02 0.016 106 2.19 nan nan nan nan nan nan nan nan nan 
K00353.01 0.064 474 0.50 nan nan nan nan nan nan nan nan nan 
K00353.02 0.016 168 0.63 nan nan nan nan nan nan nan nan nan 
K00354.01 0.021 38 0.50 nan nan nan nan nan nan nan nan nan 
K00354.02 0.010 24 2.49 nan nan nan nan nan nan nan nan nan 
K00355.01 0.017 22 0.50 nan nan nan nan nan nan nan nan nan 
K00356.01 0.032 19 0.50 nan nan nan nan nan nan nan nan nan 
K00358.01 0.209 1220 0.50 nan nan nan nan nan nan nan nan nan 
K00359.01 0.026 102 2.34 nan nan nan nan nan nan nan nan nan 
K00360.01 0.017 50 5.40 nan nan nan nan nan nan nan nan nan 
K00361.01 0.013 24 0.50 nan nan nan nan nan nan nan nan nan 
K00362.01 0.132 168 0.50 nan nan nan nan nan nan nan nan nan 
K00363.01 0.462 46 0.50 nan nan nan nan nan nan nan nan nan 
K00365.01 0.023 52 0.75 nan nan nan nan nan nan nan nan nan 
K00366.01 0.064 111 0.50 nan nan nan nan nan nan nan nan nan 
K00367.01 0.042 42 0.50 nan nan nan nan nan nan nan nan nan 
K00368.01 0.084 40 0.60 nan nan nan nan nan nan nan nan nan 
K00369.01 0.010 19 2.52 nan nan nan nan nan nan nan nan nan 
K00369.02 0.010 25 0.96 nan nan nan nan nan nan nan nan nan 
K00370.01 0.019 29 0.54 nan nan nan nan nan nan nan nan nan 
K00370.02 0.011 24 0.90 nan nan nan nan nan nan nan nan nan 
K00371.01 0.055 298 0.78 nan nan nan nan nan nan nan nan nan 
K00371.02 nan nan nan nan nan nan nan nan nan nan nan nan 
K00372.01 0.082 346 0.50 nan nan nan nan nan nan nan nan nan 
K00373.01 0.023 67 0.78 nan nan nan nan nan nan nan nan nan 
K00374.01 0.023 49 0.84 nan nan nan nan nan nan nan nan nan 
K00376.01 0.385 239 0.50 nan nan nan nan nan nan nan nan nan 
K00376.02 0.023 345 0.69 nan nan nan nan nan nan nan nan nan 
K00377.01 0.076 516 2.10 nan nan nan nan nan nan nan nan nan 
K00378.01 0.326 509 0.50 nan nan nan nan nan nan nan nan nan 
K00379.01 0.017 52 0.51 nan nan nan nan nan nan nan nan nan 
K00379.02 0.011 75 2.16 nan nan nan nan nan nan nan nan nan 
K00380.01 0.036 72 0.50 nan nan nan nan nan nan nan nan nan 
K00381.01 0.693 190 0.50 nan nan nan nan nan nan nan nan nan 
K00382.01 0.072 85 0.50 nan nan nan nan nan nan nan nan nan 
K00384.01 0.015 19 0.60 nan nan nan nan nan nan nan nan nan 
K00385.01 0.016 43 0.78 nan nan nan nan nan nan nan nan nan 
K00386.01 0.028 74 0.50 nan nan nan nan nan nan nan nan nan 
K00386.02 0.025 139 0.84 nan nan nan nan nan nan nan nan nan 
K00387.01 0.034 49 0.50 nan nan nan nan nan nan nan nan nan 
K00388.01 0.018 28 0.51 nan nan nan nan nan nan nan nan nan 
K00389.01 0.027 67 0.50 nan nan nan nan nan nan nan nan nan 
K00390.01 0.016 25 0.50 nan nan nan nan nan nan nan nan nan 
K00391.01 0.053 43 1.50 nan nan nan nan nan nan nan nan nan 
K00392.01 0.019 53 1.71 nan nan nan nan nan nan nan nan nan 
K00392.02 0.009 40 3.00 nan nan nan nan nan nan nan nan nan 
K00393.01 0.016 40 3.30 nan nan nan nan nan nan nan nan nan 
K00394.01 0.522 404 0.50 nan nan nan nan nan nan nan nan nan 
K00395.01 0.035 59 0.50 nan nan nan nan nan nan nan nan nan 
K00396.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00397.01 0.202 167 1.86 nan nan nan nan nan nan nan nan nan 
K00398.01 0.098 355 0.50 nan nan nan nan nan nan nan nan nan 
K00398.02 0.039 113 0.50 nan nan nan nan nan nan nan nan nan 
K00398.03 0.020 61 0.50 nan nan nan nan nan nan nan nan nan 
K00399.01 0.393 11470 0.50 nan nan nan nan nan nan nan nan nan 
K00400.01 0.552 200 0.50 nan nan nan nan nan nan nan nan nan 
K00401.01 0.042 95 0.50 nan nan nan nan nan nan nan nan nan 
K00401.02 0.039 266 0.50 nan nan nan nan nan nan nan nan nan 
K00401.03 0.018 113 1.38 nan nan nan nan nan nan nan nan nan 
K00402.01 0.148 548 0.50 nan nan nan nan nan nan nan nan nan 
K00403.01 0.033 362 0.50 nan nan nan nan nan nan nan nan nan 
K00404.01 0.836 129 0.50 nan nan nan nan nan nan nan nan nan 
K00405.01 0.164 829 0.50 nan nan nan nan nan nan nan nan nan 
K00406.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00407.01 0.073 1050 0.50 nan nan nan nan nan nan nan nan nan 
K00408.01 0.036 90 0.50 nan nan nan nan nan nan nan nan nan 
K00408.02 0.028 101 0.50 nan nan nan nan nan nan nan nan nan 
K00408.03 0.029 173 0.50 nan nan nan nan nan nan nan nan nan 
K00408.04 0.013 60 1.11 nan nan nan nan nan nan nan nan nan 
K00409.01 0.023 41 0.50 nan nan nan nan nan nan nan nan nan 
K00410.01 0.473 76 0.50 nan nan nan nan nan nan nan nan nan 
K00411.01 0.067 116 0.93 nan nan nan nan nan nan nan nan nan 
K00412.01 0.056 48 0.50 nan nan nan nan nan nan nan nan nan 
K00413.01 0.033 99 0.50 nan nan nan nan nan nan nan nan nan 
K00413.02 0.023 132 0.63 nan nan nan nan nan nan nan nan nan 
K00414.01 0.157 502 0.50 nan nan nan nan nan nan nan nan nan 
K00414.02 0.023 53 0.50 nan nan nan nan nan nan nan nan nan 
K00415.01 0.067 142 0.50 nan nan nan nan nan nan nan nan nan 
K00416.01 0.037 61 0.50 nan nan nan nan nan nan nan nan nan 
K00416.02 0.031 125 0.50 nan nan nan nan nan nan nan nan nan 
K00416.03 0.009 65 2.37 nan nan nan nan nan nan nan nan nan 
K00416.04 0.009 90 3.60 nan nan nan nan nan nan nan nan nan 
K00417.01 0.149 150 0.50 nan nan nan nan nan nan nan nan nan 
K00418.01 0.114 569 0.50 nan nan nan nan nan nan nan nan nan 
K00419.01 0.418 98 0.50 nan nan nan nan nan nan nan nan nan 
K00420.01 0.050 45 0.50 nan nan nan nan nan nan nan nan nan 
K00421.01 0.122 96 0.50 nan nan nan nan nan nan nan nan nan 
K00423.01 0.089 188 0.50 nan nan nan nan nan nan nan nan nan 
K00424.01 0.224 186 0.50 nan nan nan nan nan nan nan nan nan 
K00425.01 0.137 84 0.50 nan nan nan nan nan nan nan nan nan 
K00426.01 0.029 86 0.50 nan nan nan nan nan nan nan nan nan 
K00427.01 0.039 176 0.69 nan nan nan nan nan nan nan nan nan 
K00427.02 0.028 198 0.57 nan nan nan nan nan nan nan nan nan 
K00427.03 0.032 496 0.78 nan nan nan nan nan nan nan nan nan 
K00428.01 0.058 38 0.50 nan nan nan nan nan nan nan nan nan 
K00429.01 0.049 81 0.50 nan nan nan nan nan nan nan nan nan 
K00430.01 0.040 108 0.50 nan nan nan nan nan nan nan nan nan 
K00430.02 0.014 125 4.20 nan nan nan nan nan nan nan nan nan 
K00431.01 0.030 90 0.50 nan nan nan nan nan nan nan nan nan 
K00431.02 0.026 131 0.50 nan nan nan nan nan nan nan nan nan 
K00432.01 0.035 39 0.50 nan nan nan nan nan nan nan nan nan 
K00433.01 0.050 56 0.50 nan nan nan nan nan nan nan nan nan 
K00433.02 0.121 630 0.50 nan nan nan nan nan nan nan nan nan 
K00434.01 0.139 1722 0.50 nan nan nan nan nan nan nan nan nan 
K00435.01 0.036 77 0.50 nan nan nan nan nan nan nan nan nan 
K00435.03 0.022 564 1.20 nan nan nan nan nan nan nan nan nan 
K00435.04 0.014 40 0.69 nan nan nan nan nan nan nan nan nan 
K00435.05 0.030 132 0.54 nan nan nan nan nan nan nan nan nan 
K00435.06 0.014 55 1.20 nan nan nan nan nan nan nan nan nan 
K00436.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00437.01 0.369 263 0.84 nan nan nan nan nan nan nan nan nan 
K00438.01 0.033 73 0.50 nan nan nan nan nan nan nan nan nan 
K00438.02 0.030 235 0.51 nan nan nan nan nan nan nan nan nan 
K00439.01 0.043 35 0.50 nan nan nan nan nan nan nan nan nan 
K00440.01 0.030 84 0.50 nan nan nan nan nan nan nan nan nan 
K00440.02 0.030 70 0.50 nan nan nan nan nan nan nan nan nan 
K00441.01 0.602 135 0.69 nan nan nan nan nan nan nan nan nan 
K00442.01 0.023 49 0.50 nan nan nan nan nan nan nan nan nan 
K00442.02 0.012 21 0.84 nan nan nan nan nan nan nan nan nan 
K00442.03 0.013 48 1.74 nan nan nan nan nan nan nan nan nan 
K00443.01 0.025 51 0.50 nan nan nan nan nan nan nan nan nan 
K00444.01 0.021 46 0.50 nan nan nan nan nan nan nan nan nan 
K00446.01 0.035 140 0.66 nan nan nan nan nan nan nan nan nan 
K00446.02 0.026 150 0.72 nan nan nan nan nan nan nan nan nan 
K00447.01 0.664 160 1.59 nan nan nan nan nan nan nan nan nan 
K00448.01 0.034 97 0.50 nan nan nan nan nan nan nan nan nan 
K00448.02 0.048 269 0.54 nan nan nan nan nan nan nan nan nan 
K00449.01 0.381 323 0.50 nan nan nan nan nan nan nan nan nan 
K00450.01 0.037 107 0.50 nan nan nan nan nan nan nan nan nan 
K00451.01 0.025 65 0.50 nan nan nan nan nan nan nan nan nan 
K00452.01 0.021 59 0.50 nan nan nan nan nan nan nan nan nan 
K00453.01 0.215 2974 0.50 nan nan nan nan nan nan nan nan nan 
K00454.01 0.027 115 0.50 nan nan nan nan nan nan nan nan nan 
K00455.01 0.040 222 0.50 nan nan nan nan nan nan nan nan nan 
K00456.01 0.033 62 0.50 nan nan nan nan nan nan nan nan nan 
K00456.02 0.019 33 0.51 nan nan nan nan nan nan nan nan nan 
K00457.01 0.026 50 0.50 nan nan nan nan nan nan nan nan nan 
K00457.02 0.024 92 0.50 nan nan nan nan nan nan nan nan nan 
K00458.01 0.065 207 0.50 nan nan nan nan nan nan nan nan nan 
K00459.01 0.032 62 0.50 nan nan nan nan nan nan nan nan nan 
K00459.02 0.012 37 1.62 nan nan nan nan nan nan nan nan nan 
K00460.01 0.035 63 0.50 nan nan nan nan nan nan nan nan nan 
K00460.02 0.010 98 2.07 nan nan nan nan nan nan nan nan nan 
K00461.01 0.363 175 0.50 nan nan nan nan nan nan nan nan nan 
K00462.01 0.025 38 0.50 nan nan nan nan nan nan nan nan nan 
K00463.01 0.048 207 0.50 nan nan nan nan nan nan nan nan nan 
K00464.01 0.068 163 0.50 nan nan nan nan nan nan nan nan nan 
K00464.02 0.026 46 0.50 nan nan nan nan nan nan nan nan nan 
K00466.01 0.073 83 0.50 nan nan nan nan nan nan nan nan nan 
K00467.01 0.053 76 0.50 nan nan nan nan nan nan nan nan nan 
K00468.01 0.037 98 0.50 nan nan nan nan nan nan nan nan nan 
K00469.01 0.047 107 0.50 nan nan nan nan nan nan nan nan nan 
K00470.01 0.046 59 0.50 nan nan nan nan nan nan nan nan nan 
K00471.01 0.023 99 0.50 nan nan nan nan nan nan nan nan nan 
K00471.02 0.011 42 0.87 nan nan nan nan nan nan nan nan nan 
K00472.01 0.035 102 0.50 nan nan nan nan nan nan nan nan nan 
K00473.01 0.034 103 0.50 nan nan nan nan nan nan nan nan nan 
K00474.01 0.022 54 0.50 nan nan nan nan nan nan nan nan nan 
K00474.02 0.020 82 0.60 nan nan nan nan nan nan nan nan nan 
K00474.03 0.030 167 0.72 nan nan nan nan nan nan nan nan nan 
K00474.04 0.012 47 1.47 nan nan nan nan nan nan nan nan nan 
K00475.01 0.030 89 0.50 nan nan nan nan nan nan nan nan nan 
K00475.02 0.027 127 0.50 nan nan nan nan nan nan nan nan nan 
K00476.01 0.025 135 0.50 nan nan nan nan nan nan nan nan nan 
K00477.01 0.026 292 0.51 nan nan nan nan nan nan nan nan nan 
K00478.01 0.039 578 0.50 nan nan nan nan nan nan nan nan nan 
K00479.01 0.031 69 0.50 nan nan nan nan nan nan nan nan nan 
K00480.01 0.025 47 0.50 nan nan nan nan nan nan nan nan nan 
K00481.01 0.029 70 0.50 nan nan nan nan nan nan nan nan nan 
K00481.02 0.019 32 0.50 nan nan nan nan nan nan nan nan nan 
K00481.03 0.030 126 0.50 nan nan nan nan nan nan nan nan nan 
K00482.01 0.788 127 0.50 nan nan nan nan nan nan nan nan nan 
K00483.01 0.027 72 0.50 nan nan nan nan nan nan nan nan nan 
K00484.01 0.030 81 0.50 nan nan nan nan nan nan nan nan nan 
K00485.01 0.049 124 0.51 nan nan nan nan nan nan nan nan nan 
K00486.01 0.025 50 0.50 nan nan nan nan nan nan nan nan nan 
K00487.01 0.024 62 0.50 nan nan nan nan nan nan nan nan nan 
K00488.01 0.023 65 0.84 nan nan nan nan nan nan nan nan nan 
K00489.01 0.029 102 0.50 nan nan nan nan nan nan nan nan nan 
K00490.01 0.019 43 0.50 nan nan nan nan nan nan nan nan nan 
K00490.03 0.020 44 0.60 nan nan nan nan nan nan nan nan nan 
K00490.04 0.016 81 4.00 nan nan nan nan nan nan nan nan nan 
K00491.01 0.186 107 0.50 nan nan nan nan nan nan nan nan nan 
K00492.01 0.031 122 0.50 nan nan nan nan nan nan nan nan nan 
K00493.01 0.620 189 4.00 nan nan nan nan nan nan nan nan nan 
K00494.01 0.032 153 0.54 nan nan nan nan nan nan nan nan nan 
K00495.01 0.050 79 4.00 nan nan nan nan nan nan nan nan nan 
K00496.01 0.022 39 0.50 nan nan nan nan nan nan nan nan nan 
K00497.01 0.023 69 0.50 nan nan nan nan nan nan nan nan nan 
K00497.02 0.013 45 0.99 nan nan nan nan nan nan nan nan nan 
K00499.01 0.019 68 0.51 nan nan nan nan nan nan nan nan nan 
K00500.01 0.035 130 0.50 nan nan nan nan nan nan nan nan nan 
K00500.02 0.037 121 0.50 nan nan nan nan nan nan nan nan nan 
K00500.03 0.022 74 2.43 nan nan nan nan nan nan nan nan nan 
K00500.04 0.022 100 1.95 nan nan nan nan nan nan nan nan nan 
K00500.05 0.016 38 0.50 nan nan nan nan nan nan nan nan nan 
K00501.01 0.023 87 0.69 nan nan nan nan nan nan nan nan nan 
K00502.01 0.017 43 0.50 nan nan nan nan nan nan nan nan nan 
K00503.01 0.037 115 0.50 nan nan nan nan nan nan nan nan nan 
K00504.01 0.024 100 0.93 nan nan nan nan nan nan nan nan nan 
K00505.01 0.027 128 0.50 nan nan nan nan nan nan nan nan nan 
K00505.02 0.014 66 0.51 nan nan nan nan nan nan nan nan nan 
K00505.03 0.013 52 0.63 nan nan nan nan nan nan nan nan nan 
K00505.04 0.019 87 0.75 nan nan nan nan nan nan nan nan nan 
K00505.05 0.030 267 0.50 nan nan nan nan nan nan nan nan nan 
K00506.01 0.028 48 0.50 nan nan nan nan nan nan nan nan nan 
K00507.01 0.037 117 0.50 nan nan nan nan nan nan nan nan nan 
K00508.01 0.027 57 0.50 nan nan nan nan nan nan nan nan nan 
K00508.02 0.025 67 0.50 nan nan nan nan nan nan nan nan nan 
K00509.01 0.027 64 0.50 nan nan nan nan nan nan nan nan nan 
K00509.02 0.029 114 0.50 nan nan nan nan nan nan nan nan nan 
K00509.03 0.020 164 0.81 nan nan nan nan nan nan nan nan nan 
K00510.01 0.020 67 0.50 nan nan nan nan nan nan nan nan nan 
K00510.02 0.021 88 0.50 nan nan nan nan nan nan nan nan nan 
K00510.03 0.020 127 1.14 nan nan nan nan nan nan nan nan nan 
K00510.04 0.022 204 1.68 nan nan nan nan nan nan nan nan nan 
K00511.01 0.024 44 0.50 nan nan nan nan nan nan nan nan nan 
K00511.02 0.013 37 0.84 nan nan nan nan nan nan nan nan nan 
K00512.01 0.023 63 0.50 nan nan nan nan nan nan nan nan nan 
K00513.01 0.031 93 0.50 nan nan nan nan nan nan nan nan nan 
K00514.01 0.719 565 0.50 nan nan nan nan nan nan nan nan nan 
K00515.01 0.329 396 0.50 nan nan nan nan nan nan nan nan nan 
K00516.01 0.019 105 0.50 nan nan nan nan nan nan nan nan nan 
K00517.01 0.028 60 0.50 nan nan nan nan nan nan nan nan nan 
K00518.01 0.029 62 0.50 nan nan nan nan nan nan nan nan nan 
K00518.02 0.022 91 0.50 nan nan nan nan nan nan nan nan nan 
K00518.03 0.032 220 0.60 nan nan nan nan nan nan nan nan nan 
K00519.01 0.025 81 0.50 nan nan nan nan nan nan nan nan nan 
K00519.02 0.029 103 0.50 nan nan nan nan nan nan nan nan nan 
K00520.01 0.028 65 0.50 nan nan nan nan nan nan nan nan nan 
K00520.02 0.015 54 0.50 nan nan nan nan nan nan nan nan nan 
K00520.03 0.030 122 0.50 nan nan nan nan nan nan nan nan nan 
K00520.04 0.016 167 0.99 nan nan nan nan nan nan nan nan nan 
K00521.01 0.038 90 1.59 nan nan nan nan nan nan nan nan nan 
K00521.02 0.011 95 2.55 nan nan nan nan nan nan nan nan nan 
K00522.01 0.038 120 0.50 nan nan nan nan nan nan nan nan nan 
K00523.01 0.064 180 0.50 nan nan nan nan nan nan nan nan nan 
K00523.02 0.031 109 0.50 nan nan nan nan nan nan nan nan nan 
K00524.01 0.029 58 0.50 nan nan nan nan nan nan nan nan nan 
K00525.01 0.040 127 0.50 nan nan nan nan nan nan nan nan nan 
K00526.01 0.028 91 0.50 nan nan nan nan nan nan nan nan nan 
K00527.01 0.022 102 0.50 nan nan nan nan nan nan nan nan nan 
K00528.01 0.025 59 0.50 nan nan nan nan nan nan nan nan nan 
K00528.02 0.030 125 0.57 nan nan nan nan nan nan nan nan nan 
K00528.03 0.026 94 0.50 nan nan nan nan nan nan nan nan nan 
K00529.01 0.036 425 1.23 nan nan nan nan nan nan nan nan nan 
K00530.01 0.023 108 0.50 nan nan nan nan nan nan nan nan nan 
K00531.01 0.087 90 0.50 nan nan nan nan nan nan nan nan nan 
K00532.01 0.024 36 0.50 nan nan nan nan nan nan nan nan nan 
K00533.01 0.025 83 0.54 nan nan nan nan nan nan nan nan nan 
K00533.02 0.011 60 2.76 nan nan nan nan nan nan nan nan nan 
K00534.01 0.027 103 0.50 nan nan nan nan nan nan nan nan nan 
K00534.02 0.019 48 0.57 nan nan nan nan nan nan nan nan nan 
K00535.01 0.032 74 0.50 nan nan nan nan nan nan nan nan nan 
K00536.01 0.033 147 0.50 nan nan nan nan nan nan nan nan nan 
K00537.01 0.021 34 0.50 nan nan nan nan nan nan nan nan nan 
K00538.01 0.024 75 0.50 nan nan nan nan nan nan nan nan nan 
K00540.01 0.558 818 0.50 nan nan nan nan nan nan nan nan nan 
K00541.01 0.023 72 0.50 nan nan nan nan nan nan nan nan nan 
K00542.01 0.024 74 0.51 nan nan nan nan nan nan nan nan nan 
K00542.02 0.013 61 1.41 nan nan nan nan nan nan nan nan nan 
K00543.01 0.025 69 0.50 nan nan nan nan nan nan nan nan nan 
K00543.02 0.016 58 0.84 nan nan nan nan nan nan nan nan nan 
K00544.01 0.327 101 1.41 nan nan nan nan nan nan nan nan nan 
K00545.01 0.013 22 0.84 nan nan nan nan nan nan nan nan nan 
K00546.01 0.029 81 0.50 nan nan nan nan nan nan nan nan nan 
K00546.02 0.022 59 0.54 nan nan nan nan nan nan nan nan nan 
K00547.01 0.042 93 0.50 nan nan nan nan nan nan nan nan nan 
K00547.02 0.011 71 2.52 nan nan nan nan nan nan nan nan nan 
K00548.01 0.024 60 0.50 nan nan nan nan nan nan nan nan nan 
K00549.01 0.326 136 0.50 nan nan nan nan nan nan nan nan nan 
K00550.01 0.023 67 0.60 nan nan nan nan nan nan nan nan nan 
K00551.01 0.023 96 0.75 nan nan nan nan nan nan nan nan nan 
K00551.02 0.021 76 0.69 nan nan nan nan nan nan nan nan nan 
K00552.01 nan nan nan nan nan nan nan nan nan nan nan nan 
K00553.01 0.019 35 1.02 nan nan nan nan nan nan nan nan nan 
K00554.01 0.073 142 0.50 nan nan nan nan nan nan nan nan nan 
K00555.01 0.016 39 0.50 nan nan nan nan nan nan nan nan nan 
K00555.02 0.030 177 0.50 nan nan nan nan nan nan nan nan nan 
K00556.01 0.853 527 0.50 nan nan nan nan nan nan nan nan nan 
K00557.01 0.033 105 0.57 nan nan nan nan nan nan nan nan nan 
K00558.01 0.027 88 0.50 nan nan nan nan nan nan nan nan nan 
K00559.01 0.013 68 2.91 nan nan nan nan nan nan nan nan nan 
K00560.01 0.033 140 0.50 nan nan nan nan nan nan nan nan nan 
K00561.01 0.022 40 0.57 nan nan nan nan nan nan nan nan nan 
K00563.01 0.017 50 0.54 nan nan nan nan nan nan nan nan nan 
K00564.01 0.024 82 2.13 nan nan nan nan nan nan nan nan nan 
K00564.02 0.059 201 0.50 nan nan nan nan nan nan nan nan nan 
K00564.03 0.012 49 0.75 nan nan nan nan nan nan nan nan nan 
K00565.01 0.014 32 0.50 nan nan nan nan nan nan nan nan nan 
K00566.01 0.023 110 0.60 nan nan nan nan nan nan nan nan nan 
K00566.02 0.011 85 2.94 nan nan nan nan nan nan nan nan nan 
K00567.01 0.026 76 0.50 nan nan nan nan nan nan nan nan nan 
K00567.02 0.022 69 0.63 nan nan nan nan nan nan nan nan nan 
K00567.03 0.027 85 0.50 nan nan nan nan nan nan nan nan nan 
K00568.01 0.015 35 0.51 nan nan nan nan nan nan nan nan nan 
K00568.02 0.009 32 1.05 nan nan nan nan nan nan nan nan nan 
K00569.01 0.022 96 0.99 nan nan nan nan nan nan nan nan nan 
K00569.02 0.013 34 0.63 nan nan nan nan nan nan nan nan nan 
K00570.01 0.036 205 0.50 nan nan nan nan nan nan nan nan nan 
